Year,MI,FI
2007,47137,34665
2006,46677,34633
2005,44850,33044
2004,42831,32558
2003,41483,32907
2002,41057,32273
2001,40859,32758
2000,40254,32015
1999,38384,31454
1998,36315,30843
1997,34794,29807
1996,32800,28669
1995,31454,27664
1994,30367,27039
1993,28939,26402
1992,26810,25627
1991,26369,25432
1990,26041,25379
1989,25746,25316
1988,24054,24595
1987,22798,23883
1986,21822,22998
1985,20652,22163
1984,19438,21597
1983,18109,20608
1982,17381,20057
1981,16515,19309
1980,15340,19234
1979,14311,19032
1978,13113,19361
1977,12063,19550
1976,11165,19150
1975,10429,18748
1974,9861,18706
1973,9289,18787
1972,8635,18796
1971,7892,18039
1970,7537,17728
1969,7202,17457
1968,6626,16917
1967,6054,15978